Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxNesting,RatioCommentToCode
Function,IModeProcs,18,6,0,6,1,2,0,0,0,9,9,8,0,0,8,1,0,0
Function,IMOval,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,IMPoly,1,4,0,4,1,2,0,0,0,2,2,2,0,0,2,1,0,0
Function,IMPoly2,1,6,0,6,3,4,0,0,0,4,4,6,2,0,4,1,0,0
Function,IMReadPix,0,1,0,1,1,1,0,0,0,3,2,3,1,0,2,1,0,0
Function,IMRect,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,IMSelBrush,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,IMShade,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,IMShrBrush,2,9,0,9,4,8,0,0,0,9,11,17,4,0,13,3,1,0
Function,IMSizePen,0,3,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Function,IMSymCent,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Function,IMText1,1,8,0,8,1,6,0,0,0,6,5,5,0,0,5,1,0,0
Function,IMText2,1,7,0,7,2,5,0,0,0,4,4,5,1,0,4,1,0,0
Function,IMVBendBrush,1,7,0,7,1,4,0,0,0,4,6,6,0,0,6,2,1,0
Function,IMVect,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,InCaseOfReentry,1,7,0,7,1,3,0,0,0,3,3,3,0,0,3,2,1,0
Function,IncPen,2,1,0,1,1,1,0,0,0,2,1,2,1,0,1,2,0,0
Function,indexFromRate,2,12,0,12,3,6,0,0,0,1,9,10,3,0,7,3,2,0
Function,InitBoard,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Function,InitMag,6,13,0,13,4,11,0,0,0,10,11,14,3,0,11,1,0,0
Function,InitMenu,2,14,0,14,3,1,0,0,0,2,10,3,2,0,1,1,0,0
Function,InitOVS,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Function,InitPalette,1,1,0,1,1,1,0,0,0,2,1,2,1,0,1,1,0,0
Function,InitPGraph,1,4,0,4,1,1,0,0,0,2,2,1,0,0,1,1,0,0
Function,InitPicPath,0,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0
Function,InitRead,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Function,InitScreenFont,4,4,0,4,3,2,0,0,0,4,2,4,2,0,2,1,0,0
Function,InitWrite,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Function,InstCP,5,7,0,7,2,5,0,0,0,3,5,6,1,0,5,1,0,0
Function,invrotb,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Function,InvTxtBox,0,1,0,1,1,1,0,0,0,2,1,2,1,0,1,1,0,0
Function,JamCursor,6,4,0,4,2,1,0,0,0,1,3,1,1,0,0,1,0,0
Function,kbhit,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,KillCCyc,4,4,0,4,1,2,0,0,0,3,2,4,0,0,4,3,1,0
Function,killFPoly,2,14,0,14,4,7,0,0,0,5,12,11,3,0,8,2,1,0
Function,killMag,0,1,0,1,1,1,0,0,0,1,1,2,1,0,1,1,0,0
Function,killShear,0,4,0,4,3,2,0,0,0,2,2,4,2,0,2,1,0,0
Function,KillTimer,2,5,0,5,3,2,0,0,0,2,4,5,3,0,2,2,1,0
Function,LeaveW,0,5,0,5,2,2,0,0,0,3,4,3,1,0,2,1,0,0
Function,LegalMode,2,5,0,5,0,0,0,0,0,1,3,0,0,0,0,1,0,0
Function,lfsin,4,18,0,18,3,10,0,0,0,2,17,18,4,0,14,6,1,0
Function,LoadBrsNamed,2,38,0,38,7,30,1,0,0,15,27,33,6,0,27,6,2,0.03
Function,LoadFontDir,3,11,0,9,7,7,3,0,0,7,7,15,7,0,8,2,1,0.33
Function,LoadIMode,2,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0
Function,LoadPicNamed,3,27,0,27,10,21,1,0,0,11,23,26,9,0,17,4,2,0.04
Function,MagCnst,4,8,0,8,3,5,0,0,0,2,12,11,2,0,9,1,0,0
Function,MagErr,2,1,0,1,1,1,0,0,0,2,2,2,1,0,1,1,0,0
Function,magPaint,7,10,0,10,3,6,0,0,0,1,5,8,2,1,5,2,1,0
Function,magRect,6,12,0,12,4,9,0,0,0,4,11,13,4,0,9,1,0,0
Function,magRefresh,0,1,0,1,1,1,0,0,0,2,2,2,0,0,2,1,0,0
Function,MagUpdate,10,31,3,27,6,8,9,0,0,3,18,16,6,0,10,3,1,0.33
Function,main,2,13,0,10,7,8,3,1,2,9,10,15,6,0,9,2,1,0.3
Function,mainCproc,2,122,17,85,27,77,49,7,5,42,137,236,27,1,208,74,2,0.58
Function,mainRefresh,7,5,0,5,2,3,0,0,0,2,2,3,1,0,2,1,0,0
Function,MakeButtonBeUp,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Function,MakeEquivBM,3,6,0,6,3,3,0,0,0,3,4,5,2,0,3,2,1,0
Function,MaxMiLength,0,12,0,12,3,0,0,0,0,1,11,3,3,0,0,1,0,0
Function,mClearOB,2,7,0,7,2,1,0,0,0,2,5,2,1,0,1,1,0,0
Function,mClearToBg,2,9,0,9,4,6,0,0,0,7,7,9,3,0,6,1,0,0
Function,mDrawDot,3,1,0,1,1,1,0,0,0,2,2,2,1,0,1,1,0,0
Function,MergeSpare,3,14,0,14,4,7,0,0,0,4,10,11,4,0,7,2,1,0
Function,mFillPoly,2,21,0,21,10,4,0,0,0,3,23,15,10,0,5,2,1,0
Function,mFrame,3,6,0,6,2,3,0,0,0,4,5,4,1,0,3,1,0,0
Function,mOBFrame,1,8,0,8,2,0,0,0,0,1,7,1,1,0,0,1,0,0
Function,ModeMINum,2,1,0,1,1,1,0,0,0,1,2,1,0,0,1,1,0,0
Function,MouseBut,4,6,0,6,1,3,0,0,0,1,4,6,1,0,5,3,1,0
Function,movXHAndOb,0,1,0,1,1,1,0,0,0,3,3,3,0,0,3,1,0,0
Function,mRect,2,4,0,4,3,1,0,0,0,2,3,4,3,0,1,1,0,0
Function,MrgSpareBack,1,1,0,1,1,1,0,0,0,2,2,2,0,0,2,1,0,0
Function,MrgSpareFront,1,1,0,1,1,1,0,0,0,2,2,2,0,0,2,1,0,0
Function,MrgSpareUpdt,1,7,0,7,2,2,0,0,0,2,4,3,1,0,2,1,0,0
Function,MyCloseFont,2,11,0,11,4,6,0,0,0,3,5,10,4,0,6,4,3,0
Function,nada,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Function,NewButIMode,2,4,0,4,1,2,0,0,0,2,5,4,0,0,4,2,1,0
Function,NewDrawWhich,8,4,0,4,1,2,0,0,0,2,2,2,0,0,2,2,1,0
Function,NewIMode,17,24,0,24,4,19,2,0,0,21,19,23,3,0,20,5,2,0.08
Function,NextIMode,5,6,0,6,2,4,0,0,0,5,5,6,1,0,5,2,1,0
Function,NoOpen,3,1,0,1,1,1,0,0,0,2,2,2,1,0,1,1,0,0
Function,NoSave,3,1,0,1,1,1,0,0,0,2,2,1,0,0,1,1,0,0
Function,nxtpoint,3,1,0,1,1,1,0,0,0,2,4,3,0,0,3,1,0,0
Function,obclr,2,1,0,1,1,1,0,0,0,1,1,2,1,0,1,1,0,0
Function,ObFlipX,2,10,0,10,4,7,0,0,0,6,9,12,4,0,8,2,1,0
Function,ObFlipY,2,10,0,10,1,7,0,0,0,6,9,9,1,0,8,2,1,0
Function,obmv,5,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,obsplat,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,OffCycPaint,1,1,0,1,1,1,0,0,0,3,2,2,0,0,2,1,0,0
Function,OffRefrAfterOv,4,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0
Function,OnCycPaint,1,1,0,1,1,1,0,0,0,3,2,2,0,0,2,1,0,0
Function,OneBitPen,3,6,0,6,2,3,0,0,0,4,4,4,1,0,3,1,0,0
Function,OnRefrAfterOv,4,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0
Function,OpenPic,1,13,0,13,7,7,1,0,0,6,8,13,6,0,7,3,2,0.08
Function,OvflMsg,0,1,0,1,1,1,0,0,0,2,1,2,1,0,1,1,0,0
Function,OvsEnd,0,8,0,8,2,4,0,0,0,2,2,5,1,0,4,3,2,0
Function,OvsPrepare,0,2,0,2,2,1,0,0,0,2,2,4,1,0,3,2,1,0
Function,PaintDivider,4,13,1,12,5,8,0,0,0,4,8,12,4,0,8,2,1,0
Function,PaintIt,0,1,0,1,1,1,0,0,0,4,4,7,3,0,4,1,0,0
Function,PaintOb,4,31,0,31,5,12,0,0,0,4,27,25,4,2,19,11,2,0
Function,PaintSym,1,1,0,1,1,1,0,0,0,3,3,3,0,0,3,1,0,0
Function,PaintWith,3,4,0,4,2,1,0,0,0,2,3,2,1,0,1,1,0,0
Function,PaletteTool,25,177,38,120,5,173,32,0,0,47,107,103,10,1,92,23,1,0.27
Function,PaneFakeMove,1,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0
Function,PaneInit,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Function,PaneInstall,4,5,0,5,2,3,0,0,0,5,4,4,1,0,3,1,0,0
Function,PanePaint,3,3,0,3,1,1,0,0,0,2,3,2,0,0,2,2,1,0
Function,PaneRefrAll,8,3,0,3,1,1,1,0,0,2,1,2,0,0,2,2,1,0.33
Function,PaneRefresh,3,5,0,5,3,0,0,0,0,1,6,4,4,0,0,1,0,0
Function,PaneRemove,3,1,0,1,1,1,0,0,0,2,2,1,0,0,1,1,0,0
Function,PaneReset,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Function,PaneStop,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Function,Panic,0,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,PatHLine,6,11,0,8,3,5,0,1,2,1,8,10,2,0,8,5,1,0
