Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
Function,"ClearXY",,,,,,,,,,,,,,,,,,,3,6,0,6,1,2,0,0,0,2,2,2,0,0,2,2,,1,,0.00,
Function,"ClipChgBox",,,,,,,,,,,,,,,,,,,7,6,0,6,3,3,0,0,0,2,6,7,2,0,5,1,,0,,0.00,
Function,"ClipDraw",,,,,,,,,,,,,,,,,,,3,8,0,5,1,3,0,1,2,4,5,3,0,0,3,1,,0,,0.00,
Function,"ClipEnd",,,,,,,,,,,,,,,,,,,2,11,1,7,3,4,0,1,2,5,6,8,2,0,6,3,,1,,0.00,
Function,"ClipInit",,,,,,,,,,,,,,,,,,,4,5,0,5,1,2,0,0,0,5,5,4,0,0,4,1,,0,,0.00,
Function,"ClipMove",,,,,,,,,,,,,,,,,,,4,9,0,6,1,4,0,1,2,8,7,6,0,0,6,2,,1,,0.00,
Static Function,"ClipRL",,,,,,,,,,,,,,,,,,,13,39,0,36,4,24,6,1,2,11,26,35,6,0,29,10,,3,,0.17,
Static Function,"ClipUD",,,,,,,,,,,,,,,,,,,13,32,0,29,4,21,4,1,2,10,21,29,4,0,25,10,,3,,0.14,
Static Function,"Close",,,,,,,,,,,,,,,,,,,12,10,0,7,1,5,0,1,2,8,5,8,0,0,8,4,,1,,0.00,
Function,"CloseDisplay",,,,,,,,,,,,,,,,,,,9,23,2,21,12,18,0,0,0,17,20,33,12,0,21,3,,1,,0.00,
Function,"CloseWB",,,,,,,,,,,,,,,,,,,1,13,0,13,4,8,0,0,0,7,9,13,4,0,9,3,,1,,0.00,
Function,"ClrEveryTime",,,,,,,,,,,,,,,,,,,1,5,0,5,1,1,0,0,0,2,3,1,0,0,1,1,,0,,0.00,
Function,"CmpStr",,,,,,,,,,,,,,,,,,,2,6,0,6,3,4,0,0,0,3,5,6,3,0,3,1,,0,,0.00,
Function,"ColWPaint",,,,,,,,,,,,,,,,,,,2,29,0,29,2,9,0,0,0,7,28,10,1,0,9,2,,1,,0.00,
Function,"ComWidth",,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,,0,,0.00,
Function,"ConstBoxFromSM",,,,,,,,,,,,,,,,,,,3,10,0,10,1,4,0,0,0,2,7,4,0,0,4,2,,1,,0.00,
Function,"CopyBMOBPict",,,,,,,,,,,,,,,,,,,5,13,0,13,3,10,1,0,0,4,12,15,3,0,12,3,,1,,0.08,
Function,"CopyBitMap",,,,,,,,,,,,,,,,,,,5,6,0,6,3,3,0,0,0,4,6,7,2,0,5,2,,1,,0.00,
